timestamp,open,high,low,close,volume
2021-01-04 12:00:00,471.0,471.0,471.0,471.0,307.0
2021-01-04 13:00:00,467.0,467.0,467.0,467.0,260.0
2021-01-04 14:30:00,469.05,472.77,469.045,472.3801,135349.0
2021-01-04 14:45:00,472.63,475.5,472.44,475.19,108291.0
2021-01-04 15:00:00,475.45,475.655,474.07,475.22,71828.0
2021-01-04 15:15:00,475.225,476.38,474.32,474.59,56292.0
2021-01-04 15:30:00,474.77,474.77,471.87,473.95,76639.0
2021-01-04 15:45:00,473.56,473.56,470.23,470.35,72769.0
2021-01-04 16:00:00,470.41,470.68,466.34,468.345,50891.0
2021-01-04 16:15:00,468.19,469.1291,467.57,468.42,51784.0
2021-01-04 16:30:00,468.22,468.85,467.8,468.16,50196.0
2021-01-04 16:45:00,468.01,468.13,465.0,465.315,72245.0
2021-01-04 17:00:00,465.12,465.78,462.7,462.7,56140.0
2021-01-04 17:15:00,462.43,465.03,462.17,464.7,56477.0
2021-01-04 17:30:00,464.48,464.67,463.19,463.48,59694.0
2021-01-04 17:45:00,463.48,465.265,462.79,465.0362,57255.0
2021-01-04 18:00:00,464.95,467.18,464.95,466.88,42179.0
2021-01-04 18:15:00,466.915,468.15,466.705,467.83,45882.0
2021-01-04 18:30:00,467.71,468.02,467.0,467.4571,45340.0
2021-01-04 18:45:00,467.67,468.99,466.76,468.98,62685.0
2021-01-04 19:00:00,469.0354,469.06,467.41,467.66,40477.0
2021-01-04 19:15:00,468.02,468.4499,467.325,467.325,57635.0
2021-01-04 19:30:00,467.39,467.78,465.94,466.16,43483.0
2021-01-04 19:45:00,466.18,469.15,465.94,469.09,66699.0
2021-01-04 20:00:00,469.0,470.28,467.33,470.28,79874.0
2021-01-04 20:15:00,470.41,470.445,469.14,469.96,82652.0
2021-01-04 20:30:00,469.91,471.6,469.13,471.57,124040.0
2021-01-04 20:45:00,471.63,473.13,471.43,471.8,228736.0
2021-01-04 21:00:00,471.82,471.82,471.7256,471.7256,47059.0
2021-01-04 21:15:00,471.82,471.82,471.82,471.82,432.0
2021-01-05 12:00:00,473.37,473.37,473.37,473.37,388.0
2021-01-05 13:15:00,472.01,472.01,472.0,472.0,1846.0
2021-01-05 13:45:00,472.0,472.0,472.0,472.0,837.0
2021-01-05 14:30:00,472.0,474.75,471.26,473.07,109982.0
2021-01-05 14:45:00,472.94,475.98,471.99,475.7,67532.0
2021-01-05 15:00:00,475.79,477.2,475.58,475.79,72305.0
2021-01-05 15:15:00,475.81,476.895,473.79,474.76,70031.0
2021-01-05 15:30:00,475.0,475.23,471.87,471.87,78664.0
2021-01-05 15:45:00,471.865,474.47,471.43,472.08,68056.0
2021-01-05 16:00:00,472.12,472.499,471.5,472.06,56206.0
2021-01-05 16:15:00,471.94,474.05,470.995,474.05,56009.0
2021-01-05 16:30:00,473.98,475.52,473.98,475.52,44783.0
2021-01-05 16:45:00,475.405,475.405,473.78,473.78,47372.0
2021-01-05 17:00:00,473.87,475.53,473.77,474.31,58986.0
2021-01-05 17:15:00,474.42,475.2212,473.84,474.91,44076.0
2021-01-05 17:30:00,474.97,475.29,474.41,474.465,43416.0
2021-01-05 17:45:00,474.48,475.67,474.3,475.645,49065.0
2021-01-05 18:00:00,475.77,475.96,474.95,475.14,37046.0
2021-01-05 18:15:00,475.19,475.47,474.67,474.8,44663.0
2021-01-05 18:30:00,474.87,475.83,474.76,475.47,29993.0
2021-01-05 18:45:00,475.47,476.0,475.01,475.12,33342.0
2021-01-05 19:00:00,475.21,477.81,475.21,477.545,50827.0
2021-01-05 19:15:00,477.5323,480.32,477.5323,480.22,71857.0
2021-01-05 19:30:00,480.52,481.8,480.075,481.32,68433.0
2021-01-05 19:45:00,481.125,481.96,480.935,481.535,61128.0
2021-01-05 20:00:00,481.535,482.9,481.105,481.105,67468.0
2021-01-05 20:15:00,481.2,481.38,478.99,479.11,62360.0
2021-01-05 20:30:00,479.14,479.19,477.06,478.15,72160.0
2021-01-05 20:45:00,478.27,478.31,476.23,477.7,206483.0
2021-01-05 21:00:00,477.72,477.72,477.6245,477.72,33067.0
2021-01-05 22:00:00,477.72,477.72,477.72,477.72,5073.0
2021-01-06 14:15:00,471.99,472.0,471.4,471.75,2608.0
2021-01-06 14:30:00,471.3,480.13,470.2348,479.045,143595.0
2021-01-06 14:45:00,479.31,479.31,477.02,477.28,94414.0
2021-01-06 15:00:00,477.49,480.79,477.0,480.11,102702.0
2021-01-06 15:15:00,480.21,481.2,479.64,480.43,60722.0
2021-01-06 15:30:00,480.55,481.95,479.81,480.76,49190.0
2021-01-06 15:45:00,480.84,482.5231,480.84,481.77,54229.0
2021-01-06 16:00:00,481.75,481.8364,478.785,479.81,65210.0
2021-01-06 16:15:00,479.93,481.4136,479.81,480.95,65794.0
2021-01-06 16:30:00,480.97,481.15,479.49,481.09,94081.0
2021-01-06 16:45:00,481.24,483.4,481.24,483.14,51444.0
2021-01-06 17:00:00,483.32,484.35,482.94,484.03,41102.0
2021-01-06 17:15:00,484.1071,484.73,483.25,483.86,41852.0
2021-01-06 17:30:00,484.14,485.245,484.14,484.905,31057.0
2021-01-06 17:45:00,484.9363,486.76,484.85,486.63,56720.0
2021-01-06 18:00:00,486.7,488.2,486.01,486.61,59219.0
2021-01-06 18:15:00,486.87,487.51,486.405,487.14,29317.0
2021-01-06 18:30:00,487.195,488.48,487.19,487.67,34373.0
2021-01-06 18:45:00,487.61,487.825,486.9601,487.7,33424.0
2021-01-06 19:00:00,487.89,489.96,487.89,489.64,55474.0
2021-01-06 19:15:00,489.51,489.7,486.2,486.41,52997.0
2021-01-06 19:30:00,486.82,489.09,486.82,488.92,54847.0
2021-01-06 19:45:00,488.78,489.12,485.13,487.21,63513.0
2021-01-06 20:00:00,487.15,487.5,485.17,486.0,55852.0
2021-01-06 20:15:00,486.3,487.24,484.79,486.41,62406.0
2021-01-06 20:30:00,486.57,487.38,484.43,485.17,66496.0
2021-01-06 20:45:00,485.69,486.68,484.2,484.85,143387.0
2021-01-06 21:00:00,485.21,486.5,485.113,485.113,167861.0
