iter	Logloss
254	0.6802547917
255	0.6802363464
256	0.6802284452
257	0.680217224
258	0.6802032475
259	0.6801949903
260	0.6801848357
261	0.6801735146
262	0.6801590979
263	0.6801502733
264	0.6801347224
265	0.6801192029
266	0.6801024076
267	0.6800941255
268	0.680084484
269	0.6800762
270	0.6800613432
271	0.6800528418
272	0.680041959
273	0.6800347708
274	0.6800275479
275	0.6800176603
276	0.6800096088
277	0.6799909225
278	0.6799804249
279	0.6799707645
280	0.6799513324
281	0.67994317
282	0.6799320402
283	0.679923262
284	0.67991439
285	0.6799021132
286	0.6798936466
287	0.6798808804
288	0.6798736122
289	0.6798633503
290	0.6798515908
291	0.6798420849
292	0.6798336598
293	0.6798212555
294	0.6798058254
295	0.679800102
296	0.6797870231
297	0.6797720974
298	0.6797565305
299	0.6797412618
300	0.679730558
301	0.6797148942
302	0.6797036159
303	0.6796931787
304	0.6796850015
305	0.6796750192
306	0.6796654261
307	0.6796531387
308	0.6796423837
309	0.6796308335
310	0.6796226271
311	0.679610589
312	0.6795991386
313	0.6795880234
314	0.6795779193
315	0.6795687889
316	0.6795618322
317	0.6795502934
318	0.6795393235
319	0.6795314803
320	0.6795170795
321	0.6795071469
322	0.6794909535
323	0.6794820263
324	0.6794694394
325	0.6794572079
326	0.6794479622
327	0.6794384826
328	0.679426532
329	0.679421586
330	0.6794102421
331	0.679395402
332	0.6793852123
333	0.679370008
334	0.67935533
335	0.679341373
336	0.6793286608
337	0.6793136316
338	0.6793038392
339	0.6792861889
340	0.6792667776
341	0.6792522735
342	0.6792447857
343	0.6792373797
344	0.6792195149
345	0.6792097145
346	0.679202084
347	0.6791863673
348	0.6791749186
349	0.6791677031
350	0.6791503156
351	0.679134691
352	0.6791237772
353	0.6791149683
354	0.6791076072
355	0.6790964625
356	0.67908146
357	0.6790706391
358	0.6790619634
359	0.6790483138
360	0.6790394361
361	0.6790283944
362	0.6790158343
363	0.6790038421
364	0.6789937799
365	0.6789824779
366	0.6789751529
367	0.6789688566
368	0.6789567404
369	0.6789467973
370	0.6789375565
371	0.6789294523
372	0.6789199018
373	0.6789127241
374	0.6789033358
375	0.6788958485
376	0.6788820401
377	0.6788764054
378	0.6788618593
379	0.6788495737
380	0.6788372479
381	0.6788285038
382	0.6788210403
383	0.6788080741
384	0.6787866397
385	0.678777865
386	0.6787630455
387	0.6787527186
388	0.6787415804
389	0.678729382
390	0.6787133398
391	0.6787007176
392	0.6786900775
393	0.6786777272
394	0.6786701913
395	0.6786640756
396	0.678652589
397	0.678642986
398	0.6786264123
399	0.6786144949
400	0.678603542
401	0.6785948356
402	0.6785810095
403	0.6785755841
404	0.6785663065
405	0.678557419
406	0.6785441829
407	0.6785375036
408	0.6785258163
409	0.6785158806
410	0.6785063144
411	0.678490883
412	0.6784827706
413	0.6784704114
414	0.6784578467
415	0.6784432378
416	0.6784348259
417	0.6784238956
418	0.6784118894
419	0.6783940527
420	0.6783787455
421	0.6783640038
422	0.678351191
423	0.6783410817
424	0.6783313642
425	0.6783236246
426	0.6783161174
427	0.6783076562
428	0.678300135
429	0.6782852889
430	0.6782710202
431	0.6782629314
432	0.6782540377
433	0.6782462982
434	0.6782350121
435	0.6782176215
436	0.6782071213
437	0.6781891952
438	0.6781794841
439	0.6781645416
440	0.6781560092
441	0.6781434433
442	0.6781341208
443	0.678121306
444	0.6780999313
445	0.6780879555
446	0.6780778072
447	0.6780647229
448	0.6780486601
449	0.678033856
450	0.6780203918
451	0.6780082158
452	0.6779938554
453	0.6779821098
454	0.6779709021
455	0.677954253
456	0.677945359
457	0.6779339873
458	0.6779192617
459	0.6779085443
460	0.6778921666
461	0.6778804014
462	0.6778642111
463	0.6778483528
464	0.6778383937
465	0.6778247523
466	0.6778067071
467	0.6777958161
468	0.67778387
469	0.6777694535
470	0.677756914
471	0.6777463315
472	0.67773384
473	0.6777235816
474	0.6777078533
475	0.6776964786
476	0.6776789401
477	0.6776675575
478	0.677654458
479	0.6776412948
480	0.677627459
481	0.6776171387
482	0.6776083227
483	0.6775962447
484	0.677584136
485	0.6775716403
486	0.6775569786
487	0.6775454836
488	0.6775329951
489	0.677519412
490	0.6775085772
491	0.6774978689
492	0.6774898845
493	0.6774772355
494	0.6774613962
495	0.6774450934
496	0.6774332863
497	0.6774193572
498	0.6774085763
499	0.6773987352
